image,condition,distortion,detector,iou
GOPR0475_frame_000168_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8523
GOPR0475_frame_000174_rgb_anon.png,fog,noisy,sobel_p75,0.2078
GOPR0475_frame_000174_rgb_anon.png,fog,noisy,canny_proj3,0.0644
GOPR0475_frame_000174_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2836
GOPR0475_frame_000174_rgb_anon.png,fog,blurred,sobel_p75,0.4268
GOPR0475_frame_000174_rgb_anon.png,fog,blurred,canny_proj3,0.1667
GOPR0475_frame_000174_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1766
GOPR0475_frame_000174_rgb_anon.png,fog,lowcontrast,sobel_p75,0.7283
GOPR0475_frame_000174_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8943
GOPR0475_frame_000174_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8467
GOPR0475_frame_000180_rgb_anon.png,fog,noisy,sobel_p75,0.2351
GOPR0475_frame_000180_rgb_anon.png,fog,noisy,canny_proj3,0.0896
GOPR0475_frame_000180_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.1875
GOPR0475_frame_000180_rgb_anon.png,fog,blurred,sobel_p75,0.5306
GOPR0475_frame_000180_rgb_anon.png,fog,blurred,canny_proj3,0.1764
GOPR0475_frame_000180_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1810
GOPR0475_frame_000180_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8672
GOPR0475_frame_000180_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8912
GOPR0475_frame_000180_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8168
GOPR0475_frame_000185_rgb_anon.png,fog,noisy,sobel_p75,0.2276
GOPR0475_frame_000185_rgb_anon.png,fog,noisy,canny_proj3,0.1109
GOPR0475_frame_000185_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2382
GOPR0475_frame_000185_rgb_anon.png,fog,blurred,sobel_p75,0.4817
GOPR0475_frame_000185_rgb_anon.png,fog,blurred,canny_proj3,0.1861
GOPR0475_frame_000185_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2080
GOPR0475_frame_000185_rgb_anon.png,fog,lowcontrast,sobel_p75,0.7838
GOPR0475_frame_000185_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9112
GOPR0475_frame_000185_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8338
GOPR0475_frame_000191_rgb_anon.png,fog,noisy,sobel_p75,0.2110
GOPR0475_frame_000191_rgb_anon.png,fog,noisy,canny_proj3,0.0509
GOPR0475_frame_000191_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.1770
GOPR0475_frame_000191_rgb_anon.png,fog,blurred,sobel_p75,0.4600
GOPR0475_frame_000191_rgb_anon.png,fog,blurred,canny_proj3,0.1700
GOPR0475_frame_000191_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1864
GOPR0475_frame_000191_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8115
GOPR0475_frame_000191_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8606
GOPR0475_frame_000191_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.7927
GOPR0475_frame_000197_rgb_anon.png,fog,noisy,sobel_p75,0.2130
GOPR0475_frame_000197_rgb_anon.png,fog,noisy,canny_proj3,0.1481
GOPR0475_frame_000197_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2882
GOPR0475_frame_000197_rgb_anon.png,fog,blurred,sobel_p75,0.4694
GOPR0475_frame_000197_rgb_anon.png,fog,blurred,canny_proj3,0.1430
GOPR0475_frame_000197_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1619
GOPR0475_frame_000197_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8059
GOPR0475_frame_000197_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9142
GOPR0475_frame_000197_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8618
GOPR0475_frame_000203_rgb_anon.png,fog,noisy,sobel_p75,0.2154
GOPR0475_frame_000203_rgb_anon.png,fog,noisy,canny_proj3,0.0702
GOPR0475_frame_000203_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2416
GOPR0475_frame_000203_rgb_anon.png,fog,blurred,sobel_p75,0.4779
GOPR0475_frame_000203_rgb_anon.png,fog,blurred,canny_proj3,0.2166
GOPR0475_frame_000203_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.2170
GOPR0475_frame_000203_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8084
GOPR0475_frame_000203_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8955
GOPR0475_frame_000203_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8330
GOPR0475_frame_000209_rgb_anon.png,fog,noisy,sobel_p75,0.1900
