image,condition,distortion,detector,score_iou_or_ari
GP010477_frame_000253_rgb_anon.png,fog,noisy,texture_seg,0.8477
GP010477_frame_000253_rgb_anon.png,fog,blurred,sobel_p75,0.6423
GP010477_frame_000253_rgb_anon.png,fog,blurred,canny_proj3,0.1911
GP010477_frame_000253_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1857
GP010477_frame_000253_rgb_anon.png,fog,blurred,texture_seg,0.6073
GP010477_frame_000253_rgb_anon.png,fog,lowcontrast,sobel_p75,0.9546
GP010477_frame_000253_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9366
GP010477_frame_000253_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.9000
GP010477_frame_000253_rgb_anon.png,fog,lowcontrast,texture_seg,0.9076
GP010477_frame_000377_rgb_anon.png,fog,noisy,sobel_p75,0.2346
GP010477_frame_000377_rgb_anon.png,fog,noisy,canny_proj3,0.0731
GP010477_frame_000377_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.1172
GP010477_frame_000377_rgb_anon.png,fog,noisy,texture_seg,0.9027
GP010477_frame_000377_rgb_anon.png,fog,blurred,sobel_p75,0.5690
GP010477_frame_000377_rgb_anon.png,fog,blurred,canny_proj3,0.3619
GP010477_frame_000377_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.3875
GP010477_frame_000377_rgb_anon.png,fog,blurred,texture_seg,0.5082
GP010477_frame_000377_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8560
GP010477_frame_000377_rgb_anon.png,fog,lowcontrast,canny_proj3,0.8873
GP010477_frame_000377_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8314
GP010477_frame_000377_rgb_anon.png,fog,lowcontrast,texture_seg,0.9675
GP010477_frame_000617_rgb_anon.png,fog,noisy,sobel_p75,0.2555
GP010477_frame_000617_rgb_anon.png,fog,noisy,canny_proj3,0.1342
GP010477_frame_000617_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.3215
GP010477_frame_000617_rgb_anon.png,fog,noisy,texture_seg,0.8562
GP010477_frame_000617_rgb_anon.png,fog,blurred,sobel_p75,0.5841
GP010477_frame_000617_rgb_anon.png,fog,blurred,canny_proj3,0.1879
GP010477_frame_000617_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1981
GP010477_frame_000617_rgb_anon.png,fog,blurred,texture_seg,0.8125
GP010477_frame_000617_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8684
GP010477_frame_000617_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9087
GP010477_frame_000617_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8641
GP010477_frame_000617_rgb_anon.png,fog,lowcontrast,texture_seg,0.9144
GP020475_frame_000264_rgb_anon.png,fog,noisy,sobel_p75,0.2544
GP020475_frame_000264_rgb_anon.png,fog,noisy,canny_proj3,0.1089
GP020475_frame_000264_rgb_anon.png,fog,noisy,canny_proj3_preblur,0.2547
GP020475_frame_000264_rgb_anon.png,fog,noisy,texture_seg,0.8781
GP020475_frame_000264_rgb_anon.png,fog,blurred,sobel_p75,0.5342
GP020475_frame_000264_rgb_anon.png,fog,blurred,canny_proj3,0.1562
GP020475_frame_000264_rgb_anon.png,fog,blurred,canny_proj3_preblur,0.1671
GP020475_frame_000264_rgb_anon.png,fog,blurred,texture_seg,0.8436
GP020475_frame_000264_rgb_anon.png,fog,lowcontrast,sobel_p75,0.8691
GP020475_frame_000264_rgb_anon.png,fog,lowcontrast,canny_proj3,0.9164
GP020475_frame_000264_rgb_anon.png,fog,lowcontrast,canny_proj3_preblur,0.8595
GP020475_frame_000264_rgb_anon.png,fog,lowcontrast,texture_seg,0.8930
GP020478_frame_000171_rgb_anon.png,fog,noisy,sobel_p75,0.3518
