image,condition,detector,edge_density,runtime_ms,iou_vs_proj3_canny
GP010402_frame_000078_rgb_anon.png,rain,sobel_p90,0.101079,49.432,0.3543
GP010402_frame_000078_rgb_anon.png,rain,project3_canny,0.067141,225.678,1.0000
GP010402_frame_000078_rgb_anon.png,rain,cv2_canny_75_200,0.042332,1.940,0.2674
GP020400_frame_000365_rgb_anon.png,rain,sobel_p75,0.264633,48.248,0.1992
GP020400_frame_000365_rgb_anon.png,rain,sobel_p90,0.105554,48.248,0.3252
GP020400_frame_000365_rgb_anon.png,rain,project3_canny,0.054318,204.558,1.0000
GP020400_frame_000365_rgb_anon.png,rain,cv2_canny_75_200,0.031528,1.863,0.2303
GP020400_frame_000640_rgb_anon.png,rain,sobel_p75,0.259557,49.230,0.2128
GP020400_frame_000640_rgb_anon.png,rain,sobel_p90,0.103502,49.230,0.3338
GP020400_frame_000640_rgb_anon.png,rain,project3_canny,0.057537,230.148,1.0000
GP020400_frame_000640_rgb_anon.png,rain,cv2_canny_75_200,0.031916,1.468,0.2213
GP020400_frame_000953_rgb_anon.png,rain,sobel_p75,0.278237,48.902,0.1056
GP020400_frame_000953_rgb_anon.png,rain,sobel_p90,0.105951,48.902,0.2475
GP020400_frame_000953_rgb_anon.png,rain,project3_canny,0.029589,229.527,1.0000
GP020400_frame_000953_rgb_anon.png,rain,cv2_canny_75_200,0.010319,1.270,0.1587
GP020402_frame_000424_rgb_anon.png,rain,sobel_p75,0.279630,44.414,0.1440
GP020402_frame_000424_rgb_anon.png,rain,sobel_p90,0.101463,44.414,0.3122
GP020402_frame_000424_rgb_anon.png,rain,project3_canny,0.040520,199.434,1.0000
GP020402_frame_000424_rgb_anon.png,rain,cv2_canny_75_200,0.024647,1.777,0.2469
GP020571_frame_000646_rgb_anon.png,rain,sobel_p75,0.256742,47.934,0.2134
GP020571_frame_000646_rgb_anon.png,rain,sobel_p90,0.103177,47.934,0.3612
GP020571_frame_000646_rgb_anon.png,rain,project3_canny,0.055716,218.944,1.0000
GP020571_frame_000646_rgb_anon.png,rain,cv2_canny_75_200,0.039275,1.778,0.2831
GOPR0604_frame_000568_rgb_anon.png,snow,sobel_p75,0.258555,50.029,0.2987
GOPR0604_frame_000568_rgb_anon.png,snow,sobel_p90,0.101959,50.029,0.3378
GOPR0604_frame_000568_rgb_anon.png,snow,project3_canny,0.082976,222.778,1.0000
GOPR0604_frame_000568_rgb_anon.png,snow,cv2_canny_75_200,0.063731,2.444,0.2815
GOPR0604_frame_000672_rgb_anon.png,snow,sobel_p75,0.255217,45.435,0.3213
GOPR0604_frame_000672_rgb_anon.png,snow,sobel_p90,0.101115,45.435,0.3203
GOPR0604_frame_000672_rgb_anon.png,snow,project3_canny,0.093748,232.016,1.0000
GOPR0604_frame_000672_rgb_anon.png,snow,cv2_canny_75_200,0.061778,2.720,0.2598
GOPR0604_frame_000709_rgb_anon.png,snow,sobel_p75,0.262087,51.994,0.3407
GOPR0604_frame_000709_rgb_anon.png,snow,sobel_p90,0.102424,51.994,0.3233
GOPR0604_frame_000709_rgb_anon.png,snow,project3_canny,0.103677,226.203,1.0000
GOPR0604_frame_000709_rgb_anon.png,snow,cv2_canny_75_200,0.074791,2.907,0.2818
GOPR0606_frame_000513_rgb_anon.png,snow,sobel_p75,0.252801,48.257,0.3704
GOPR0606_frame_000513_rgb_anon.png,snow,sobel_p90,0.100397,48.257,0.2546
GOPR0606_frame_000513_rgb_anon.png,snow,project3_canny,0.153550,239.659,1.0000
GOPR0606_frame_000513_rgb_anon.png,snow,cv2_canny_75_200,0.111709,3.847,0.2779
GOPR0607_frame_000058_rgb_anon.png,snow,sobel_p75,0.257604,48.851,0.3525
GOPR0607_frame_000058_rgb_anon.png,snow,sobel_p90,0.102637,48.851,0.2975
GOPR0607_frame_000058_rgb_anon.png,snow,project3_canny,0.115403,233.818,1.0000
GOPR0607_frame_000058_rgb_anon.png,snow,cv2_canny_75_200,0.078807,2.769,0.2715
GOPR0607_frame_000266_rgb_anon.png,snow,sobel_p75,0.255186,50.574,0.2673
GOPR0607_frame_000266_rgb_anon.png,snow,sobel_p90,0.103180,50.574,0.3581
GOPR0607_frame_000266_rgb_anon.png,snow,project3_canny,0.072688,232.608,1.0000
GOPR0607_frame_000266_rgb_anon.png,snow,cv2_canny_75_200,0.044473,2.303,0.2511
GOPR0607_frame_000302_rgb_anon.png,snow,sobel_p75,0.251631,45.318,0.3020
GOPR0607_frame_000302_rgb_anon.png,snow,sobel_p90,0.103156,45.318,0.3320
GOPR0607_frame_000302_rgb_anon.png,snow,project3_canny,0.085019,234.820,1.0000
GOPR0607_frame_000302_rgb_anon.png,snow,cv2_canny_75_200,0.053101,2.939,0.2543
GOPR0607_frame_000776_rgb_anon.png,snow,sobel_p75,0.263977,48.685,0.2249
GOPR0607_frame_000776_rgb_anon.png,snow,sobel_p90,0.104406,48.685,0.3432
GOPR0607_frame_000776_rgb_anon.png,snow,project3_canny,0.062577,231.506,1.0000
GOPR0607_frame_000776_rgb_anon.png,snow,cv2_canny_75_200,0.028556,1.610,0.2182
GOPR0607_frame_000844_rgb_anon.png,snow,sobel_p75,0.254276,46.344,0.3494
GOPR0607_frame_000844_rgb_anon.png,snow,sobel_p90,0.103629,46.344,0.2996
GOPR0607_frame_000844_rgb_anon.png,snow,project3_canny,0.114492,240.764,1.0000
GOPR0607_frame_000844_rgb_anon.png,snow,cv2_canny_75_200,0.070072,2.630,0.2562
GOPR0607_frame_000873_rgb_anon.png,snow,sobel_p75,0.259274,44.768,0.3298
GOPR0607_frame_000873_rgb_anon.png,snow,sobel_p90,0.104034,44.768,0.3296
GOPR0607_frame_000873_rgb_anon.png,snow,project3_canny,0.098800,242.435,1.0000
GOPR0607_frame_000873_rgb_anon.png,snow,cv2_canny_75_200,0.064651,2.659,0.2639
GP010122_frame_001029_rgb_anon.png,snow,sobel_p75,0.254864,38.254,0.3430
GP010122_frame_001029_rgb_anon.png,snow,sobel_p90,0.103449,38.254,0.3169
GP010122_frame_001029_rgb_anon.png,snow,project3_canny,0.103605,245.693,1.0000
GP010122_frame_001029_rgb_anon.png,snow,cv2_canny_75_200,0.071603,2.929,0.2624
GP010607_frame_000138_rgb_anon.png,snow,sobel_p75,0.263318,41.285,0.2420
GP010607_frame_000138_rgb_anon.png,snow,sobel_p90,0.100602,41.285,0.3324
GP010607_frame_000138_rgb_anon.png,snow,project3_canny,0.067402,234.932,1.0000
GP010607_frame_000138_rgb_anon.png,snow,cv2_canny_75_200,0.025846,1.729,0.1591
GP010607_frame_000768_rgb_anon.png,snow,sobel_p75,0.260673,47.030,0.2253
GP010607_frame_000768_rgb_anon.png,snow,sobel_p90,0.101886,47.030,0.3567
GP010607_frame_000768_rgb_anon.png,snow,project3_canny,0.059840,364.786,1.0000
GP010607_frame_000768_rgb_anon.png,snow,cv2_canny_75_200,0.032811,2.902,0.2313
GP040176_frame_000169_rgb_anon.png,snow,sobel_p75,0.251783,48.597,0.3354
GP040176_frame_000169_rgb_anon.png,snow,sobel_p90,0.103664,48.597,0.3342
GP040176_frame_000169_rgb_anon.png,snow,project3_canny,0.096596,465.636,1.0000
GP040176_frame_000169_rgb_anon.png,snow,cv2_canny_75_200,0.054447,5.615,0.2461
GP040176_frame_000428_rgb_anon.png,snow,sobel_p75,0.253610,57.383,0.3492
GP040176_frame_000428_rgb_anon.png,snow,sobel_p90,0.101498,57.383,0.3049
GP040176_frame_000428_rgb_anon.png,snow,project3_canny,0.108464,274.810,1.0000
GP040176_frame_000428_rgb_anon.png,snow,cv2_canny_75_200,0.083316,2.784,0.2825
GP040176_frame_000707_rgb_anon.png,snow,sobel_p75,0.258449,49.848,0.3088
GP040176_frame_000707_rgb_anon.png,snow,sobel_p90,0.102486,49.848,0.3358
GP040176_frame_000707_rgb_anon.png,snow,project3_canny,0.087477,768.469,1.0000
GP040176_frame_000707_rgb_anon.png,snow,cv2_canny_75_200,0.045534,2.740,0.2338
